lr,bsize,shuffle,loss
0.01,8.0,1.0,0.02308732084929943
0.01,8.0,0.0,0.00739406980574131
0.01,16.0,1.0,0.026322627440094948
0.01,16.0,0.0,0.014462432824075222
0.01,32.0,1.0,0.01544325239956379
0.01,32.0,0.0,0.01007316168397665
0.0002,8.0,1.0,0.005155170802026987
0.0002,8.0,0.0,0.004480739589780569
0.0002,16.0,1.0,0.008075005374848843
0.0002,16.0,0.0,0.007258964236825705
0.0002,32.0,1.0,0.014069520868360996
0.0002,32.0,0.0,0.009074216708540916
